"","ID","account_open_date","age","location","occupation","income_level","fico_score","delinquency_status","charge_off_status","number_of_credit_applications","debt_to_income_ratio","payment_methods_high_risk","max_balance","avg_balance_last_12months","number_of_delinquent_accounts","number_of_defaulted_accounts","earliest_credit_account","recent_trade_activity","new_accounts_opened_last_12months","multiple_applications_short_time_period","unusual_submission_pattern","applications_submitted_during_odd_hours","watchlist_blacklist_flag","public_records_flag","number_of_delinquent_accounts_imp"
"1",1,45239,56,"Los Angeles","Teacher",40099,424,108,TRUE,10,3.139571893,FALSE,18209.38314,4324.930673,4,2,43354,45358,3,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"2",2,44815,69,"New York","Engineer",2050,483,0,FALSE,1,1.017488808,FALSE,33673.6965,21726.59392,3,2,44993,45319,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"3",3,44024,46,"Miami","Engineer",71936,566,0,FALSE,1,1.508625818,FALSE,101918.1742,63930.10225,2,0,45408,45568,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"4",4,45517,32,"Houston","Banker",15833,542.123828365419,97,TRUE,5,2.995149852,FALSE,9055.101659,3033.403742,3,1,45183,45579,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"5",5,45500,60,"Houston","Lawyer",8574,787,0,FALSE,1,1.182379669,FALSE,91682.85204,77457.38702,0,0,44873,45537,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"6",6,44626,25,"Chicago","Teacher",59349,688,0,FALSE,1,1.12119589,TRUE,91705.65065,78392.24519,0,0,43422,45370,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"7",7,45225,38,"Los Angeles","Banker",6925,740,0,FALSE,1,1.659631073,FALSE,29940.71407,24486.0935,0,0,44621,45295,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"8",8,44133,56,"Dallas","Accountant",25139,563,0,FALSE,1,0.876579656,FALSE,56872.14948,21106.5953236794,1,1,44815,45251,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9",9,44814,36,"Los Angeles","Other",6197,758,22,FALSE,1,1.008079801,FALSE,60627.64049,50566.24897,0,0,44767,45567,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"10",10,44256,40,"Seattle","Banker",4262,518,100,TRUE,3,1.941141724,FALSE,28726.57966,6100.624275,4,2,43631,45390,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"11",11,43930,28,"Atlanta","Retail Worker",10495,692,0,FALSE,1,1.38816679,FALSE,101381.5346,76615.51935,0,0,43654,45370,4,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"12",12,43789,28,"New York","Consultant",15932,791,0,FALSE,1,2.091943057,FALSE,47774.68273,39534.30512,0,0,42367,45535,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"13",13,45563,41,"New York","Lawyer",46654,458,0,FALSE,1,0.902211602,FALSE,67595.24603,64187.48323,4,1,44114,45455,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"14",14,43942,70,"Los Angeles","Other",5870,574,1,TRUE,1,1.16771022,FALSE,85745.75536,56829.25293,2,1,42744,45263,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"15",15,45004,53,"Houston","Accountant",27455,470,105,FALSE,8,0.822817995,FALSE,1719.847854,807.6961255,4,2,44610,45555,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"16",16,43854,57,"Houston","Banker",5682,687,0,FALSE,1,1.132462889,FALSE,12080.6804,8971.746586,0,0,43708,45382,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"17",17,44766,41,"Dallas","Teacher",58901,557,110,TRUE,2,1.518563181,TRUE,6177.967069,2131.94213,3,2,45353,45363,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
"18",18,45230,20,"Atlanta","Accountant",16310,422,1,FALSE,1,1.404233698,FALSE,64434.60916,51612.80645,4,2,44308,45556,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"19",19,44608,39,"New York","Accountant",3454,604,0,FALSE,1,1.150563873,FALSE,33348.17292,21576.86929,0,0,44617,45424,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
